"FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","Incidence_Rate","Case.Fatality_Ratio"
9001,"Fairfield","Connecticut","US","2020-09-09",41.26809896,-73.3881171,19135,1417,0,17718,"Fairfield, Connecticut, US",2028.44809674643,7.4052782858636
9003,"Hartford","Connecticut","US","2020-09-09",41.80283011,-72.73103891,13771,1428,0,12343,"Hartford, Connecticut, US",1544.31884448033,10.3696173117421
9005,"Litchfield","Connecticut","US","2020-09-09",41.7937534,-73.2451475,1751,139,0,1612,"Litchfield, Connecticut, US",970.981462072943,7.93832095945174
9007,"Middlesex","Connecticut","US","2020-09-09",41.45949668,-72.53714864,1496,193,0,1303,"Middlesex, Connecticut, US",920.978108301116,12.9010695187166
9009,"New Haven","Connecticut","US","2020-09-09",41.4080325,-72.93620426,13858,1109,0,12749,"New Haven, Connecticut, US",1621.27949814977,8.00259777745706
9011,"New London","Connecticut","US","2020-09-09",41.48896435,-72.10430976,1643,108,0,1535,"New London, Connecticut, US",619.51841210229,6.57334144856969
9013,"Tolland","Connecticut","US","2020-09-09",41.85853803,-72.3308481,1191,65,0,1126,"Tolland, Connecticut, US",790.201763523331,5.4575986565911
90009,"Unassigned","Connecticut","US","2020-09-09",NA,NA,112,0,0,112,"Unassigned, Connecticut, US",NA,0
9015,"Windham","Connecticut","US","2020-09-09",41.82972709,-71.98182316,825,15,0,810,"Windham, Connecticut, US",706.444486307821,1.81818181818182
10001,"Kent","Delaware","US","2020-09-09",39.08646628,-75.56884914,2727,110,0,2617,"Kent, Delaware, US",1508.41326208888,4.03373670700403
10003,"New Castle","Delaware","US","2020-09-09",39.57992638,-75.64054974,8694,303,0,8391,"New Castle, Delaware, US",1555.96480018899,3.48516218081435
10005,"Sussex","Delaware","US","2020-09-09",38.66143781,-75.39031349,6432,196,0,6236,"Sussex, Delaware, US",2746.07748959334,3.04726368159204
90010,"Unassigned","Delaware","US","2020-09-09",NA,NA,455,0,0,455,"Unassigned, Delaware, US",NA,0
24001,"Allegany","Maryland","US","2020-09-09",39.62357628,-78.69280486,407,22,0,385,"Allegany, Maryland, US",577.993637809589,5.40540540540541
24003,"Anne Arundel","Maryland","US","2020-09-09",39.00670238,-76.60329337,8857,240,0,8617,"Anne Arundel, Maryland, US",1529.08841677112,2.70972112453427
24005,"Baltimore","Maryland","US","2020-09-09",39.45784712,-76.62911955,16347,608,0,15739,"Baltimore, Maryland, US",1975.77867217811,3.71933688138496
24510,"Baltimore City","Maryland","US","2020-09-09",39.30211911,-76.61151012,14994,470,0,14524,"Baltimore City, Maryland, US",2526.41156548552,3.13458716820061
24009,"Calvert","Maryland","US","2020-09-09",38.53961642,-76.56820632,830,28,0,802,"Calvert, Maryland, US",897.05485004053,3.37349397590361
24011,"Caroline","Maryland","US","2020-09-09",38.87172293,-75.82904158,572,3,0,569,"Caroline, Maryland, US",1712.26725737891,0.524475524475524
24013,"Carroll","Maryland","US","2020-09-09",39.56453592,-77.02373735,1796,123,0,1673,"Carroll, Maryland, US",1066.21073690835,6.84855233853007
24015,"Cecil","Maryland","US","2020-09-09",39.56647682,-75.94627411,858,31,0,827,"Cecil, Maryland, US",834.184045500948,3.61305361305361
24017,"Charles","Maryland","US","2020-09-09",38.51092331,-76.98580666,2494,95,0,2399,"Charles, Maryland, US",1527.6527193321,3.80914194065758
24019,"Dorchester","Maryland","US","2020-09-09",38.45413522,-76.02752426,502,8,0,494,"Dorchester, Maryland, US",1572.23840395878,1.59362549800797
24021,"Frederick","Maryland","US","2020-09-09",39.47296601,-77.39999394,3638,127,0,3511,"Frederick, Maryland, US",1401.67291473221,3.49092908191314
24023,"Garrett","Maryland","US","2020-09-09",39.52786077,-79.27355126,64,0,0,64,"Garrett, Maryland, US",220.583166747088,0
24025,"Harford","Maryland","US","2020-09-09",39.55010644,-76.3077594,2676,72,0,2604,"Harford, Maryland, US",1047.60003288431,2.69058295964126
24027,"Howard","Maryland","US","2020-09-09",39.25305293,-76.93126208,4627,118,0,4509,"Howard, Maryland, US",1420.67610304277,2.55024854117139
24029,"Kent","Maryland","US","2020-09-09",39.24976208,-76.04741541,277,24,0,253,"Kent, Maryland, US",1426.21769127793,8.66425992779783
24031,"Montgomery","Maryland","US","2020-09-09",39.13676329,-77.20358245,20766,828,0,19938,"Montgomery, Maryland, US",1976.41926052263,3.98728691129731
24033,"Prince George's","Maryland","US","2020-09-09",38.83070039,-76.8496441,27102,803,0,26299,"Prince George's, Maryland, US",2980.44597817947,2.96288096819423
24035,"Queen Anne's","Maryland","US","2020-09-09",39.06198912,-76.03530977,589,26,0,563,"Queen Anne's, Maryland, US",1169.0915225978,4.41426146010187
24039,"Somerset","Maryland","US","2020-09-09",38.1163542,-75.75118623,207,4,0,203,"Somerset, Maryland, US",808.088694565896,1.93236714975845
24037,"St. Mary's","Maryland","US","2020-09-09",38.30058422,-76.6062928,1164,56,0,1108,"St. Mary's, Maryland, US",1025.4603118668,4.81099656357388
24041,"Talbot","Maryland","US","2020-09-09",38.76618159,-76.10882561,497,4,0,493,"Talbot, Maryland, US",1336.70423065544,0.804828973843058
90024,"Unassigned","Maryland","US","2020-09-09",NA,NA,0,8,0,-8,"Unassigned, Maryland, US",NA,NA
24043,"Washington","Maryland","US","2020-09-09",39.60835778,-77.82002295,1411,35,0,1376,"Washington, Maryland, US",934.133956530662,2.48051027639972
