Name,State,County,Longitude (N/S),Latitude (E/W),Label,Source,Notes,distance
Farmington River Trail,Connecticut,Hartford,41.731227000000004,72.863284,Trail,"https://www.tripadvisor.com/Attractions-g28928-Activities-Connecticut.html Note: for all Tripadvisor sources, I scrolled to the bottom of the page and selected Sort by: Traveler Favorites (these rankings are based on Tripadvisor data including reviews, ratings, photos, and popularity)","I decided to omit #5 Merritt Parkway (because it's a scenic highway), #6 Farmington River (because it's covered by Farmington River Trail), and #7 Yale University Art Gallery (because it's covered by Yale University) from the Tripadvisor rankings",92.0290116702665
Mystic Seaport Museum,Connecticut,New London,41.3616,71.9646,Museum,,,115.63223626701006
Yale University,Connecticut,New Haven,41.3163,72.9223,University,,,70.24141418177338
The Mark Twain House & Museum,Connecticut,Hartford,41.766999999999996,72.7014,Museum,,,99.47244817215359
Mashantucket Pequot Museum & Research Center,Connecticut,New London,41.4662,71.9627,Museum,,,118.62048425788215
Go Ape Zipline & Adventure Park,Delaware,New Castle,39.33535,75.43296,Amusement Park,https://www.tripadvisor.com/Attractions-g28929-Activities-Delaware.html,,121.569578042331
Funland,Delaware,Sussex,38.7146,75.0762,Amusement Park,,,149.2749813638219
Air Mobility Command Museum,Delaware,Kent,39.1187,75.4566,Museum,,,134.37280847803672
Junction and Breakwater Trail,Delaware,Sussex,38.43284,75.05442,Trail,,,167.04661617957586
Hagley Museum and Library,Delaware,New Castle,39.465,75.343,Museum,,,111.57284135973201
Fenway Park,Massachusetts,Suffolk,42.3467,71.0972,Arenas & Stadiums,https://www.tripadvisor.com/Attractions-g28942-Activities-Massachusetts.html#ATTRACTION_SORT_WRAPPER,,188.24926047706984
Freedom Trail,Massachusetts,Suffolk,42.356,71.0541,Trail,,,190.41640348430644
Atwood Museum,Massachusetts,Barnstable,41.673274,69.965237,Museum,,,220.75259764093065
Lizzie Borden House,Massachusetts,Bristol,41.6989,71.1562,Museum,,,163.31119115983137
The Clark Art Institute,Massachusetts,Berkshire,42.7079,73.214,Museum,,,143.55300208528536
Horseshoe Casino,Maryland,Baltimore,39.2736,76.6274,Casino,https://www.tripadvisor.com/Attractions-g28941-Activities-Maryland.html#ATTRACTION_SORT_WRAPPER,Note: for some reason Tripadvisor posts both Washington DC attractions here as well so need to be careful ,170.95745954994237
Sagamore Spirit Distillery,Maryland,Baltimore,39.2634,76.6069,Wineries,,,170.49409140717205
The Adventure Park at Sandy Spring,Maryland,Montgomery,39.13169,77.02685,Amusement Park,,,194.07563609067066
US Naval Academy,Maryland,Anne Arundel,38.9821,76.4839,University,,,177.8777762864718
Lyon Rum Distillery & Tasting Room,Maryland,Cambria,38.78222,76.21921999999999,Wineries,,,177.91930773972152
Amalthea Cellars Winery,New Jersey,Camden,39.738483,74.886328,Wineries,https://www.tripadvisor.com/Search?q=things%20to%20do%20in%20New%20Jersey&searchSessionId=903888062FDE998113C528010294F5631602200735945ssid&geo=28951&sid=812F8B625E32D97BD0CF5F9ACCA037591602200782013&blockRedirect=true&ssrc=A&rf=1,,81.85510716758047
Gateway National Recreation Area,New Jersey,Monmouth,40.464226000000004,74.00246800000001,Museum,,,17.25421225707825
Battleship New Jersey,New Jersey,Camden,39.942153999999995,75.131015,Museum,,,79.7960874595809
Thomas Edison National Historical Park,New Jersey,Essex,40.784093,74.23312299999999,National Park,,,12.857127245687916
Spirit of New Jersey,New Jersey,Hudson,40.76128,74.021047,Boat Tour,,,3.3389375821932603
Statue of Liberty,New York,New York,40.689654,74.044913,Monument,https://www.tripadvisor.com/Search?q=things%20to%20do%20in%20New%20York&searchSessionId=903888062FDE998113C528010294F5631602200735945ssid&geo=28951&sid=812F8B625E32D97BD0CF5F9ACCA037591602271020154&blockRedirect=true&ssrc=A,,2.658444539398014
Empire State Building,New York,New York,40.749010999999996,73.986201,Landmark,,,2.6121706686172104
Times Square,New York,New York,40.746255,73.988614,Landmark,,,2.3876866627489908
