FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
9001.0,Fairfield,Connecticut,US,2020-09-01,41.26809896,-73.3881171,18939,1415,0,17524.0,"Fairfield, Connecticut, US",2007.670682220045,7.4713554041924075
9003.0,Hartford,Connecticut,US,2020-09-01,41.80283011,-72.73103891,13529,1425,0,12104.0,"Hartford, Connecticut, US",1517.1802808056339,10.532929263064528
9005.0,Litchfield,Connecticut,US,2020-09-01,41.7937534,-73.2451475,1713,138,0,1575.0,"Litchfield, Connecticut, US",949.9093343980304,8.056042031523642
9007.0,Middlesex,Connecticut,US,2020-09-01,41.45949668,-72.53714864,1466,192,0,1274.0,"Middlesex, Connecticut, US",902.5092959688741,13.096862210095498
9009.0,New Haven,Connecticut,US,2020-09-01,41.4080325,-72.93620426,13711,1109,0,12602.0,"New Haven, Connecticut, US",1604.0816278778648,8.08839617825104
9011.0,New London,Connecticut,US,2020-09-01,41.48896435,-72.10430976,1587,107,0,1480.0,"New London, Connecticut, US",598.4027510689804,6.7422810333963445
9013.0,Tolland,Connecticut,US,2020-09-01,41.85853803,-72.3308481,1147,65,0,1082.0,"Tolland, Connecticut, US",761.0087512689007,5.6669572798605055
90009.0,Unassigned,Connecticut,US,2020-09-01,,,107,0,0,107.0,"Unassigned, Connecticut, US",,0.0
9015.0,Windham,Connecticut,US,2020-09-01,41.82972709,-71.98182316,807,15,0,792.0,"Windham, Connecticut, US",691.0311520611052,1.858736059479554
10001.0,Kent,Delaware,US,2020-09-01,39.08646628,-75.56884914,2639,110,0,2529.0,"Kent, Delaware, US",1459.7369265319214,4.168245547555893
10003.0,New Castle,Delaware,US,2020-09-01,39.57992638,-75.64054974,8250,300,0,7950.0,"New Castle, Delaware, US",1476.5021395858275,3.6363636363636362
10005.0,Sussex,Delaware,US,2020-09-01,38.66143781,-75.39031349,6357,195,0,6162.0,"Sussex, Delaware, US",2714.056996477745,3.0674846625766867
90010.0,Unassigned,Delaware,US,2020-09-01,,,289,0,0,289.0,"Unassigned, Delaware, US",,0.0
24001.0,Allegany,Maryland,US,2020-09-01,39.62357628,-78.69280486,395,20,0,375.0,"Allegany, Maryland, US",560.9520563508294,5.063291139240507
24003.0,Anne Arundel,Maryland,US,2020-09-01,39.00670238,-76.60329337,8400,237,0,8163.0,"Anne Arundel, Maryland, US",1450.1911144718717,2.821428571428572
24005.0,Baltimore,Maryland,US,2020-09-01,39.45784712,-76.62911955,15593,604,0,14989.0,"Baltimore, Maryland, US",1884.6465305727786,3.8735329955749376
