FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
9001,Fairfield,Connecticut,US,2020-09-22T04:00:00Z,41.26809896,-73.3881171,19891,1421,0,18470,"Fairfield, Connecticut, US",2108.589553,7.143934443
9003,Hartford,Connecticut,US,2020-09-22T04:00:00Z,41.80283011,-72.73103891,14414,1434,0,12980,"Hartford, Connecticut, US",1616.426681,9.948661024
9005,Litchfield,Connecticut,US,2020-09-22T04:00:00Z,41.7937534,-73.2451475,1845,140,0,1705,"Litchfield, Connecticut, US",1023.107252,7.588075881
9007,Middlesex,Connecticut,US,2020-09-22T04:00:00Z,41.45949668,-72.53714864,1556,193,0,1363,"Middlesex, Connecticut, US",957.915733,12.403598969999999
9009,New Haven,Connecticut,US,2020-09-22T04:00:00Z,41.4080325,-72.93620426,14278,1113,0,13165,"New Haven, Connecticut, US",1670.41627,7.795209413
9011,New London,Connecticut,US,2020-09-22T04:00:00Z,41.48896435,-72.10430976,1782,114,0,1668,"New London, Connecticut, US",671.9304993,6.397306397
9013,Tolland,Connecticut,US,2020-09-22T04:00:00Z,41.85853803,-72.3308481,1323,66,0,1257,"Tolland, Connecticut, US",877.7808003,4.988662132
90009,Unassigned,Connecticut,US,2020-09-22T04:00:00Z,NA,NA,137,0,0,137,"Unassigned, Connecticut, US",NA,0
9015,Windham,Connecticut,US,2020-09-22T04:00:00Z,41.82972709,-71.98182316,934,15,0,919,"Windham, Connecticut, US",799.7807881,1.605995717
10001,Kent,Delaware,US,2020-09-22T04:00:00Z,39.08646628,-75.56884914,2882,115,0,2767,"Kent, Delaware, US",1594.149989,3.990284525
10003,New Castle,Delaware,US,2020-09-22T04:00:00Z,39.57992638,-75.64054974,9731,310,0,9421,"New Castle, Delaware, US",1741.556645,3.185695201
10005,Sussex,Delaware,US,2020-09-22T04:00:00Z,38.66143781,-75.39031349,6666,203,0,6463,"Sussex, Delaware, US",2845.981428,3.04530453
90010,Unassigned,Delaware,US,2020-09-22T04:00:00Z,NA,NA,482,0,0,482,"Unassigned, Delaware, US",NA,0
24001,Allegany,Maryland,US,2020-09-22T04:00:00Z,39.62357628,-78.69280486,450,22,0,428,"Allegany, Maryland, US",639.0593047,4.888888889
24003,Anne Arundel,Maryland,US,2020-09-22T04:00:00Z,39.00670238,-76.60329337,9713,245,0,9468,"Anne Arundel, Maryland, US",1676.869797,2.52239267
24005,Baltimore,Maryland,US,2020-09-22T04:00:00Z,39.45784712,-76.62911955,17523,619,0,16904,"Baltimore, Maryland, US",2117.915806,3.532500143
24510,Baltimore City,Maryland,US,2020-09-22T04:00:00Z,39.30211911,-76.61151012,15292,482,0,14810,"Baltimore City, Maryland, US",2576.623027,3.151974889
24009,Calvert,Maryland,US,2020-09-22T04:00:00Z,38.53961642,-76.56820632,914,28,0,886,"Calvert, Maryland, US",987.841124,3.06345733
24011,Caroline,Maryland,US,2020-09-22T04:00:00Z,38.87172293,-75.82904158,638,5,0,633,"Caroline, Maryland, US",1909.836556,0.78369906
24013,Carroll,Maryland,US,2020-09-22T04:00:00Z,39.56453592,-77.02373735,1917,124,0,1793,"Carroll, Maryland, US",1138.04342,6.468440271
24015,Cecil,Maryland,US,2020-09-22T04:00:00Z,39.56647682,-75.94627411,1017,33,0,984,"Cecil, Maryland, US",988.7705994,3.244837758
24017,Charles,Maryland,US,2020-09-22T04:00:00Z,38.51092331,-76.98580666,2716,99,0,2617,"Charles, Maryland, US",1663.634637,3.645066274
24019,Dorchester,Maryland,US,2020-09-22T04:00:00Z,38.45413522,-76.02752426,578,10,0,568,"Dorchester, Maryland, US",1810.266529,1.730103806
24021,Frederick,Maryland,US,2020-09-22T04:00:00Z,39.47296601,-77.39999394,3938,130,0,3808,"Frederick, Maryland, US",1517.258916,3.301168106
24023,Garrett,Maryland,US,2020-09-22T04:00:00Z,39.52786077,-79.27355126,72,1,0,71,"Garrett, Maryland, US",248.1560626,1.388888889
24025,Harford,Maryland,US,2020-09-22T04:00:00Z,39.55010644,-76.3077594,2945,76,0,2869,"Harford, Maryland, US",1152.908108,2.580645161
24027,Howard,Maryland,US,2020-09-22T04:00:00Z,39.25305293,-76.93126208,4968,122,0,4846,"Howard, Maryland, US",1525.376892,2.455716586
24029,Kent,Maryland,US,2020-09-22T04:00:00Z,39.249762080000004,-76.04741541,297,24,0,273,"Kent, Maryland, US",1529.193698,8.080808081
24031,Montgomery,Maryland,US,2020-09-22T04:00:00Z,39.13676329,-77.20358245,21933,841,0,21092,"Montgomery, Maryland, US",2087.48934,3.834404778
24033,Prince George's,Maryland,US,2020-09-22T04:00:00Z,38.83070039,-76.8496441,28715,818,0,27897,"Prince George's, Maryland, US",3157.829912,2.848685356
24035,Queen Anne's,Maryland,US,2020-09-22T04:00:00Z,39.06198912,-76.03530977,640,26,0,614,"Queen Anne's, Maryland, US",1270.32016,4.0625
24039,Somerset,Maryland,US,2020-09-22T04:00:00Z,38.1163542,-75.75118623,246,4,0,242,"Somerset, Maryland, US",960.3372892,1.62601626
24037,St. Mary's,Maryland,US,2020-09-22T04:00:00Z,38.30058422,-76.6062928,1257,57,0,1200,"St. Mary's, Maryland, US",1107.391419,4.534606205
24041,Talbot,Maryland,US,2020-09-22T04:00:00Z,38.76618159,-76.10882561,543,5,0,538,"Talbot, Maryland, US",1460.423334,0.920810313
90024,Unassigned,Maryland,US,2020-09-22T04:00:00Z,NA,NA,0,13,0,-13,"Unassigned, Maryland, US",NA,NA
24043,Washington,Maryland,US,2020-09-22T04:00:00Z,39.60835778,-77.82002295,1676,37,0,1639,"Washington, Maryland, US",1109.573714,2.207637232
24045,Wicomico,Maryland,US,2020-09-22T04:00:00Z,38.37301947,-75.62705831,1914,48,0,1866,"Wicomico, Maryland, US",1847.329865,2.507836991
24047,Worcester,Maryland,US,2020-09-22T04:00:00Z,38.21274277,-75.33200012,1010,26,0,984,"Worcester, Maryland, US",1932.05295,2.574257426
25001,Barnstable,Massachusetts,US,2020-09-22T04:00:00Z,41.72980578,-70.28854339,1714,173,0,1541,"Barnstable, Massachusetts, US",804.7326166,10.09334889
25003,Berkshire,Massachusetts,US,2020-09-22T04:00:00Z,42.37428441,-73.20524838,704,49,0,655,"Berkshire, Massachusetts, US",563.4524267,6.960227273
25005,Bristol,Massachusetts,US,2020-09-22T04:00:00Z,41.79228404,-71.10872211,9826,686,0,9140,"Bristol, Massachusetts, US",1738.447357,6.981477712
NA,Dukes and Nantucket,Massachusetts,US,2020-09-22T04:00:00Z,41.40674725,-70.68763497,150,1,0,149,"Dukes and Nantucket, Massachusetts, US",522.08416,0.666666667
25009,Essex,Massachusetts,US,2020-09-22T04:00:00Z,42.6687626,-70.94687179,19120,1271,0,17849,"Essex, Massachusetts, US",2423.216237,6.64748954
25011,Franklin,Massachusetts,US,2020-09-22T04:00:00Z,42.58119713,-72.58602547,404,67,0,337,"Franklin, Massachusetts, US",575.6625819,16.58415842
