index,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
945,9001.0,Fairfield,Connecticut,US,2020-09-29,41.26809896,-73.3881171,20190,1422,0,18768.0,"Fairfield, Connecticut, US",2140.285710651181,7.043090638930162
946,9003.0,Hartford,Connecticut,US,2020-09-29,41.80283011,-72.73103891,14737,1436,0,13301.0,"Hartford, Connecticut, US",1652.6488135289105,9.744181312343082
947,9005.0,Litchfield,Connecticut,US,2020-09-29,41.7937534,-73.2451475,1874,141,0,1733.0,"Litchfield, Connecticut, US",1039.1886121785808,7.524012806830308
948,9007.0,Middlesex,Connecticut,US,2020-09-29,41.45949668,-72.53714864,1588,193,0,1395.0,"Middlesex, Connecticut, US",977.6157994533232,12.153652392947107
949,9009.0,New Haven,Connecticut,US,2020-09-29,41.408032500000004,-72.93620426,14451,1115,0,13336.0,"New Haven, Connecticut, US",1690.6559408112478,7.715729015293058
950,9011.0,New London,Connecticut,US,2020-09-29,41.48896435,-72.10430976,1994,115,0,1879.0,"New London, Connecticut, US",751.8683589360724,5.767301905717153
951,9013.0,Tolland,Connecticut,US,2020-09-29,41.85853803,-72.3308481,1359,67,0,1292.0,"Tolland, Connecticut, US",901.6659921311563,4.930095658572481
952,90009.0,Unassigned,Connecticut,US,2020-09-29,,,146,0,0,146.0,"Unassigned, Connecticut, US",,0.0
953,9015.0,Windham,Connecticut,US,2020-09-29,41.82972709,-71.98182316,990,16,0,974.0,"Windham, Connecticut, US",847.7333835693856,1.616161616161616
954,10001.0,Kent,Delaware,US,2020-09-29,39.08646628,-75.56884914,2949,117,0,2832.0,"Kent, Delaware, US",1631.2103813348376,3.9674465920651074
955,10003.0,New Castle,Delaware,US,2020-09-29,39.57992638,-75.64054974,10309,312,0,9997.0,"New Castle, Delaware, US",1845.0012796351873,3.0264817150063053
956,10005.0,Sussex,Delaware,US,2020-09-29,38.66143781,-75.39031349,6782,206,0,6576.0,"Sussex, Delaware, US",2895.5064574661114,3.0374520790327337
957,90010.0,Unassigned,Delaware,US,2020-09-29,,,491,0,0,491.0,"Unassigned, Delaware, US",,0.0
1850,24001.0,Allegany,Maryland,US,2020-09-29,39.62357628,-78.69280486,473,23,0,450.0,"Allegany, Maryland, US",671.7223358327652,4.8625792811839315
1851,24003.0,Anne Arundel,Maryland,US,2020-09-29,39.00670238,-76.60329337,10073,248,0,9825.0,"Anne Arundel, Maryland, US",1739.0208447708524,2.462027201429564
1852,24005.0,Baltimore,Maryland,US,2020-09-29,39.45784712,-76.62911955,17939,630,0,17309.0,"Baltimore, Maryland, US",2168.1956077691957,3.5119014437817047
1853,24510.0,Baltimore City,Maryland,US,2020-09-29,39.30211911,-76.61151012,15606,485,0,15121.0,"Baltimore City, Maryland, US",2629.530404893091,3.1077790593361527
1854,24009.0,Calvert,Maryland,US,2020-09-29,38.53961642,-76.56820632,961,28,0,933.0,"Calvert, Maryland, US",1038.6382058903,2.9136316337148798
